"dept","comm","year","week","price"
"AISNE","SOISSONS",1838,4,1806
"AISNE","SOISSONS",1838,5,1800
"AISNE","SOISSONS",1838,6,1821
"AISNE","SOISSONS",1838,7,1869
"AISNE","SOISSONS",1838,8,1930
"AISNE","SOISSONS",1838,9,1950
"AISNE","SOISSONS",1838,10,1924
"AISNE","SOISSONS",1838,11,1927
"AISNE","SOISSONS",1838,12,2001
"AISNE","SOISSONS",1838,13,2110
"AISNE","SOISSONS",1838,14,2080
"AISNE","SOISSONS",1838,15,2057
"AISNE","SOISSONS",1838,16,2141
"AISNE","SOISSONS",1838,17,2240
"AISNE","SOISSONS",1838,18,2372
"AISNE","SOISSONS",1838,19,2397
"AISNE","SOISSONS",1838,20,2375
"AISNE","SOISSONS",1838,21,2463
"AISNE","SOISSONS",1838,22,2337
"AISNE","SOISSONS",1838,23,2252
"AISNE","SOISSONS",1838,24,2352
"AISNE","SOISSONS",1839,1,2324
"AISNE","SOISSONS",1839,2,2239
"AISNE","SOISSONS",1839,3,2147
"AISNE","SOISSONS",1839,4,2178
"AISNE","SOISSONS",1839,5,2251
"AISNE","SOISSONS",1839,6,2207
"AISNE","SOISSONS",1839,7,2128
"AISNE","SOISSONS",1839,8,2153
"AISNE","SOISSONS",1839,9,2143
"AISNE","SOISSONS",1839,10,2107
"AISNE","SOISSONS",1839,11,2047
"AISNE","SOISSONS",1839,12,2143
"AISNE","SOISSONS",1839,13,2283
"AISNE","SOISSONS",1839,14,2432
"AISNE","SOISSONS",1839,15,2576
"AISNE","SOISSONS",1839,16,2610
"AISNE","SOISSONS",1839,17,2787
"AISNE","SOISSONS",1839,18,2797
"AISNE","SOISSONS",1839,19,2739
"AISNE","SOISSONS",1839,20,2781
"AISNE","SOISSONS",1839,21,2669
"AISNE","SOISSONS",1839,22,2524
"AISNE","SOISSONS",1839,23,2576
"AISNE","SOISSONS",1839,24,2553
"AISNE","SOISSONS",1840,1,2545
"AISNE","SOISSONS",1840,2,2538
"AISNE","SOISSONS",1840,3,2503
"AISNE","SOISSONS",1840,4,2552
"AISNE","SOISSONS",1840,5,2556
"AISNE","SOISSONS",1840,6,2643
"AISNE","SOISSONS",1840,7,2708
"AISNE","SOISSONS",1840,8,2727
"AISNE","SOISSONS",1840,9,2644
"AISNE","SOISSONS",1840,10,2593
"AISNE","SOISSONS",1840,11,2677
"AISNE","SOISSONS",1840,12,2543
"AISNE","SOISSONS",1840,13,2327
"AISNE","SOISSONS",1840,14,2400
"AISNE","SOISSONS",1840,15,2269
"AISNE","SOISSONS",1840,16,2092
"AISNE","SOISSONS",1840,17,1983
"AISNE","SOISSONS",1840,18,2057
"AISNE","SOISSONS",1840,19,1978
"AISNE","SOISSONS",1840,20,1817
"AISNE","SOISSONS",1840,21,1690
"AISNE","SOISSONS",1840,22,1721
"AISNE","SOISSONS",1840,23,1730
"AISNE","SOISSONS",1840,24,1721
"AISNE","SOISSONS",1841,1,1695
"AISNE","SOISSONS",1841,2,1643
"AISNE","SOISSONS",1841,3,1639
"AISNE","SOISSONS",1841,4,1641
"AISNE","SOISSONS",1841,5,1602
"AISNE","SOISSONS",1841,6,1465
"AISNE","SOISSONS",1841,7,1521
"AISNE","SOISSONS",1841,8,1545
"AISNE","SOISSONS",1841,9,1468
"AISNE","SOISSONS",1841,10,1413
